expo,table,Submission Title,Desired Prizes,Submission Url,special
1,1,LA-RPG,"Best Domain Name, State Farm's Favorite, Best Newbie Team",http://mangohacks16.devpost.com/submissions/50182-la-rpg,
1,2,Filty,"Best Domain Name, State Farm's Favorite",http://mangohacks16.devpost.com/submissions/50187-filty,
1,3,Wrist Shop,Best Use of AWS,http://mangohacks16.devpost.com/submissions/50246-wrist-shop,
1,4,Emote,"Best Use of AWS, State Farm's Favorite, Best Design, Organizers Choice",http://mangohacks16.devpost.com/submissions/50252-emote,
1,5,git fit,"Best Use of AWS, Best Domain Name, Best Newbie Team",http://mangohacks16.devpost.com/submissions/50254-git-fit,
1,6,MoodMerlin,"Best Use of AWS, Best Domain Name, State Farm's Favorite, Best Newbie Team, Best Design, Organizers Choice",http://mangohacks16.devpost.com/submissions/50256-moodmerlin,
1,7,Phinder,"Best Domain Name, State Farm's Favorite, Best Newbie Team",http://mangohacks16.devpost.com/submissions/50298-phinder,
1,8,"""Do It"" Button","State Farm's Favorite, Best Newbie Team, Best Design, Most Ridiculous, Organizers Choice",http://mangohacks16.devpost.com/submissions/50299-do-it-button,
1,9,Blake-From-State-Farm,"State Farm's Favorite, Best Newbie Team, Most Ridiculous, Organizers Choice",http://mangohacks16.devpost.com/submissions/50305-blake-from-state-farm,
1,10,beaconBits,"Best Use of AWS, Best Hardware Hack, State Farm's Favorite, Organizers Choice",http://mangohacks16.devpost.com/submissions/50308-beaconbits,
1,11,Amble,"State Farm's Favorite, Organizers Choice",http://mangohacks16.devpost.com/submissions/50309-amble,
1,12,Quizlit,"Best Domain Name, Best Newbie Team, Most Ridiculous",http://mangohacks16.devpost.com/submissions/50314-quizlit,
1,13,s16_mangohacks,Best Use Of MiamiBeach API,http://mangohacks16.devpost.com/submissions/50315-s16_mangohacks,
1,14,walkr,"Best Hardware Hack, Best Domain Name, State Farm's Favorite, Best Newbie Team, Best Design, Most Ridiculous, Organizers Choice",http://mangohacks16.devpost.com/submissions/50316-walkr,
1,15,Mindful,"Best Domain Name, State Farm's Favorite, Best Design, Organizers Choice",http://mangohacks16.devpost.com/submissions/50317-mindful,
1,16,Moodsical,"Best Design, Most Ridiculous",http://mangohacks16.devpost.com/submissions/50320-moodsical,
1,17,Gethr,Best Design,http://mangohacks16.devpost.com/submissions/50321-gethr,
1,18,J.A.S.M,"Best Hardware Hack, State Farm's Favorite, Best Design, Organizers Choice",http://mangohacks16.devpost.com/submissions/50322-j-a-s-m,
1,19,Ardite,"State Farm's Favorite, Best Design, Organizers Choice",http://mangohacks16.devpost.com/submissions/50323-ardite,
1,20,2MuchLove,"Best Newbie Team, Most Ridiculous, Organizers Choice",http://mangohacks16.devpost.com/submissions/50325-2muchlove,
1,21,collegelift,"Best Use Of MiamiBeach API, State Farm's Favorite, Best Design",http://mangohacks16.devpost.com/submissions/50326-collegelift,
1,22,Fish Identifer,"State Farm's Favorite, Best Newbie Team, Best Design, Organizers Choice",http://mangohacks16.devpost.com/submissions/50328-fish-identifer,
1,23,MyCandidate,,http://mangohacks16.devpost.com/submissions/50329-mycandidate,
1,24,miaLife,"Best Domain Name, Best Use Of MiamiBeach API, State Farm's Favorite, Best Newbie Team, Best Design, Organizers Choice",http://mangohacks16.devpost.com/submissions/50331-mialife,
1,25,Alone,"Best Newbie Team, Best Design, Most Ridiculous",http://mangohacks16.devpost.com/submissions/50332-alone,
1,26,I'm In Miami Beach,"Best Use Of MiamiBeach API, State Farm's Favorite, Organizers Choice",http://mangohacks16.devpost.com/submissions/50333-i-m-in-miami-beach,
1,27,Gethr,"Best Use Of MiamiBeach API, State Farm's Favorite, Best Newbie Team, Best Design, Organizers Choice",http://mangohacks16.devpost.com/submissions/50334-gethr,
1,28,EasyLauncher,,http://mangohacks16.devpost.com/submissions/50335-easylauncher,
1,29,Beach Please Do Yoga With Me?,"State Farm's Favorite, Best Design, Most Ridiculous, Organizers Choice",http://mangohacks16.devpost.com/submissions/50336-beach-please-do-yoga-with-me,
1,30,Belated for Slack,"State Farm's Favorite, Organizers Choice",http://mangohacks16.devpost.com/submissions/50337-belated-for-slack,
1,31,cityCOVR,"State Farm's Favorite, Best Newbie Team, Best Design, Most Ridiculous, Organizers Choice",http://mangohacks16.devpost.com/submissions/50338-citycovr,
1,32,Beverage Coaster App,"State Farm's Favorite, Best Newbie Team, Best Design, Most Ridiculous, Organizers Choice",http://mangohacks16.devpost.com/submissions/50339-beverage-coaster-app,
1,33,Pixel Art,,http://mangohacks16.devpost.com/submissions/50341-pixel-art,
1,34,CityGuide,,http://mangohacks16.devpost.com/submissions/50343-cityguide,
